id,message,expected_intent,expected_priority,expected_routing,predicted_intent,predicted_priority,predicted_routing,predicted_entities,suggested_action,explanation,response,error
1,"I was charged twice for the same transaction and I need this resolved immediately. If not, I will escalate.",Billing Issue;Complaint,High,Billing Department,Billing Issue;Complaint,High,Billing Department,,Verify duplicate charge and issue refund or credit,"The customer reports a duplicate charge and demands immediate resolution, indicating a billing issue with urgency. No fraud indicators are present, so routing to Billing Department with high priority is appropriate.",We’re sorry for the inconvenience. We’ve identified the duplicate charge and will refund the extra amount within 3‑5 business days. Please let us know if you have any further questions.,
2,Someone tried to log into my account from a different country. I did not authorize this.,Fraud Suspicion,Critical,Fraud Team,Fraud Suspicion,High,Fraud Team,,"Notify the customer that a suspicious login was detected, advise them to change their password and review recent activity, and secure the account immediately.","The customer reports an unauthorized login from a different country, which is a clear fraud suspicion. This warrants a high priority and routing to the Fraud Team to investigate and secure the account.",We’ve detected a login attempt from a different country that you did not authorize. We’re taking immediate steps to secure your account. Please change your password and let us know if you notice any other suspicious activity.,
3,Can you tell me my current account balance?,Balance Inquiry,Low,Support Team,Balance Inquiry,Low,Support Team,,Retrieve and provide the current account balance to the customer,"The customer is requesting their current account balance, a routine balance inquiry with no urgency or fraud indicators, so it is routed to the Support Team with low priority.","Sure, I will retrieve your current balance and get back to you shortly.",
4,I sent a transfer to my brother two days ago and he still hasn't received it.,Transfer Delay,Medium,Support Team,Transfer Delay,Medium,Support Team,two days ago,Ask the customer for the transfer reference number and check the transfer status in the system,"The customer reports a transfer that has not arrived after two days, indicating a delay. No fraud or urgent issue is mentioned, so a medium priority is appropriate. The Support Team handles transfer inquiries.",Thank you for reaching out. Could you please provide the transfer reference number or the date and amount of the transfer? We'll check the status and get back to you shortly.,
5,This is the third time I'm contacting you about the same issue and nothing has been done!,Complaint;Escalation Request,High,Support Team,Complaint;Unclear,Medium,Support Team,,Request more details about the specific issue and apologize for the delay,"The customer expresses frustration over a repeated unresolved issue, indicating a complaint. The message lacks specifics, so we mark it as unclear and route to the Support Team with medium priority.",We’re sorry you’re still experiencing this issue. Could you please let us know the details of the problem so we can investigate and resolve it promptly?,
6,"Hi, I need help.",Unclear,Low,Support Team,Unclear,Low,Support Team,,Request more information from customer,"The message is very vague with no details, so the intent is unclear and priority is low. Routing to the general Support Team for further clarification.","I’m sorry, could you please let me know what you need help with?",
7,My card is not working at ATMs.,Card Issue,Medium,Support Team,Card Issue,Medium,Support Team,,"Ask the customer to try a different ATM or check if the card is activated; if still not working, arrange a replacement.","The customer reports that the card is not working at ATMs, which is a card issue. No fraud or urgent details are present, so a medium priority is appropriate. Card issues are routed to the Support Team.","I'm sorry to hear that your card isn't working at ATMs. Please try using a different ATM or check if your card is activated. If the problem persists, let me know and we can arrange a replacement.",
8,I noticed a $500 withdrawal I never made. Please freeze my account now.,Fraud Suspicion;Urgent Action,Critical,Fraud Team,Fraud Suspicion,Critical,Fraud Team,$500 withdrawal,Verify identity and freeze account; request transaction details,"The customer reports an unauthorized $500 withdrawal and requests immediate account freeze, indicating a potential fraud incident that requires urgent investigation by the Fraud Team.","We’re sorry to hear about the unauthorized withdrawal. We’ve frozen your account and are investigating the transaction. Please confirm your identity by providing your full name, date of birth, and the last four digits of your Social Security number so we can resolve this promptly.",
9,What are the fees for international wire transfers?,Fee Inquiry,Low,Support Team,Fee Inquiry,Low,Billing Department,,Provide the fee schedule for international wire transfers.,"The customer is asking about fees for international wire transfers, a billing-related question with no urgency or fraud concerns, so it is low priority and routed to Billing.","Sure! For international wire transfers, the fee is $30 per transfer. Let us know if you need more details or have a specific destination.",
10,I want to close my account and get a refund for the annual fee.,Account Closure;Refund Request,Medium,Billing Department,,,,,,,,Task 'text-generation' not supported for provider 'groq'. Available tasks: ['conversational']
