id,message,category,ambiguous,expected_intent,expected_priority,expected_entities,expected_routing
1,"I was charged twice for the same transaction and I need this resolved immediately. If not, I will escalate.",billing_dispute,no,"Billing Issue;Complaint",High,"duplicate transaction",Billing Department
2,"Someone tried to log into my account from a different country. I did not authorize this.",fraud_suspicion,no,"Fraud Suspicion",Critical,"unauthorized login",Fraud Team
3,"Can you tell me my current account balance?",account_query,no,"Balance Inquiry",Low,"account balance",Support Team
4,"I sent a transfer to my brother two days ago and he still hasn't received it.",financial_dispute,no,"Transfer Delay",Medium,"transfer;2 days",Support Team
5,"This is the third time I'm contacting you about the same issue and nothing has been done!",complaint,no,"Complaint;Escalation Request",High,"repeated contact",Support Team
6,"Hi, I need help.",ambiguous,yes,"Unclear",Low,"",Support Team
7,"My card is not working at ATMs.",account_query,no,"Card Issue",Medium,"ATM;card",Support Team
8,"I noticed a $500 withdrawal I never made. Please freeze my account now.",fraud_suspicion,no,"Fraud Suspicion;Urgent Action",Critical,"$500 withdrawal",Fraud Team
9,"What are the fees for international wire transfers?",account_query,no,"Fee Inquiry",Low,"international wire transfer",Support Team
10,"I want to close my account and get a refund for the annual fee.",account_query,no,"Account Closure;Refund Request",Medium,"annual fee;account closure",Billing Department
11,"There's an issue.",ambiguous,yes,"Unclear",Low,"",Support Team
12,"My salary was supposed to be deposited today but I don't see it.",financial_dispute,no,"Missing Deposit",High,"salary deposit",Billing Department
13,"I keep getting declined even though I have enough balance, this is frustrating and urgent.",billing_dispute,no,"Card Decline;Complaint",High,"declined transaction",Support Team
14,"Can I get a copy of my last 6 months statements?",account_query,no,"Statement Request",Low,"6 months statement",Support Team
15,"I think my card details got leaked online, what should I do?",fraud_suspicion,no,"Fraud Suspicion",Critical,"leaked card details",Fraud Team
16,"Not happy with the service at all.",ambiguous,yes,"Complaint",Low,"",Support Team
17,"I applied for a loan two weeks ago and haven't heard back, I need an update urgently since I have a deadline.",account_query,no,"Loan Status Inquiry",High,"loan application;2 weeks",Loan Department
18,"Why was my transaction declined at checkout yesterday?",billing_dispute,no,"Transaction Decline Inquiry",Medium,"declined transaction;yesterday",Support Team
19,"Please cancel my subscription and refund the last payment, it's been charged again by mistake.",billing_dispute,no,"Subscription Cancellation;Refund Request",Medium,"subscription;refund",Billing Department
20,"I got an email asking me to confirm my password, is this legit?",fraud_suspicion,no,"Phishing Suspicion",High,"phishing email",Fraud Team
